filename,talknet_score,face_reco_score
out/pycrop/2011-07-09_01/1-00000.avi,2.696434114353601,1.0
out/pycrop/2011-07-09_14/1-00000.avi,2.3599305544221014,1.0
out/pycrop/2011-07-09_10/1-00000.avi,1.7195692793595212,1.0
out/pycrop/2011-07-09_12/1-00000.avi,2.164282684015574,1.0
out/pycrop/2011-07-09_09/1-00000.avi,2.4742722973717206,1.0
out/pycrop/2011-07-09_04/1-00000.avi,2.528972216335436,1.0
out/pycrop/2011-07-09_11/1-00000.avi,2.428792516794267,1.0
out/pycrop/2011-07-09_03/1-00000.avi,1.9557383968310134,1.0
out/pycrop/2011-07-09_05/1-00000.avi,2.5510721877636486,1.0
out/pycrop/2011-07-09_07/1-00000.avi,2.777175926854029,1.0
out/pycrop/2011-07-09_17/1-00000.avi,2.800135751639466,1.0
out/pycrop/2011-07-09_19/1-00000.avi,2.2819532112881804,1.0
out/pycrop/2011-07-09_08/1-00000.avi,3.010789473594455,1.0
out/pycrop/2011-07-09_02/1-00000.avi,2.087965684686331,1.0
out/pycrop/2011-07-09_15/1-00000.avi,2.1671929728566552,1.0
out/pycrop/2011-07-09_16/1-00000.avi,2.473961037184511,1.0
out/pycrop/2011-07-09_18/1-00000.avi,2.0789473581340228,1.0
out/pycrop/2011-07-09_00/1-00006.avi,ERR_short_duration,1.0
out/pycrop/2011-07-09_00/1-00007.avi,-0.6561805635690688,0.0
out/pycrop/2011-07-09_00/1-00008.avi,0.02991666673993071,0.0
out/pycrop/2011-07-09_00/1-00001.avi,-1.453124988824129,1.0
out/pycrop/2011-07-09_00/1-00003.avi,-1.4024999767541886,1.0
out/pycrop/2011-07-09_00/3-00010.avi,2.182898549394331,1.0
out/pycrop/2011-07-09_00/1-00000.avi,-0.8403703809888275,1.0
out/pycrop/2011-07-09_00/1-00004.avi,-1.143015886015362,1.0
out/pycrop/2011-07-09_00/1-00009.avi,-0.7619791710128387,1.0
out/pycrop/2011-07-09_00/1-00002.avi,-1.3748245377289623,1.0
out/pycrop/2011-07-09_00/1-00005.avi,-1.4011458185811838,1.0
out/pycrop/2011-07-09_13/1-00000.avi,2.8615377973342677,1.0
out/pycrop/2011-07-09_06/1-00000.avi,2.161085865488558,1.0
